scheme_num,scheme_code,tax_year_id,scheme_name,run_from_date,run_to_date,tax_exempt,description
1,SSPEN1,2021,Pension 1 - Smart (Save More And Reduce Tax),2020-04-06,2021-04-05,1,
2,SSPEN2,2021,Pension 2 - Standard,2020-04-06,2021-04-05,1,
3,SSCHILD,2021,Employer supported childcare,2020-04-06,2021-04-05,1,
4,SSCYCLE,2021,Cycle to work,2020-04-06,2021-04-05,1,
5,SSCAR,2021,Ultra-low emissions vehicles,2020-04-06,2021-04-05,1,
6,SSTRAIN,2021,Retraining,2020-04-06,2021-04-05,0,
7,SSINTAN,2021,Intangibles,2020-04-06,2021-04-05,0,
